Inv	Sample	inv_reads	total_reads
In(2L)t	HOULE_L1F	0	4696
In(2L)t	HOULE_L2F	0	1757
In(2L)t	HOULE_L3F	5	3442
In(2L)t	HOUSTON_L1F	336	3986
In(2L)t	HOUSTON_L2F	379	1938
In(2L)t	HOUSTON_L3F	0	848
In(2R)Ns	HOULE_L1F	2	19062
In(2R)Ns	HOULE_L2F	1	7167
In(2R)Ns	HOULE_L3F	0	14008
In(2R)Ns	HOUSTON_L1F	100	16270
In(2R)Ns	HOUSTON_L2F	0	8068
In(2R)Ns	HOUSTON_L3F	1	3655
In(3L)P	HOULE_L1F	138	21180
In(3L)P	HOULE_L2F	14	7343
In(3L)P	HOULE_L3F	6	15119
In(3L)P	HOUSTON_L1F	2759	16513
In(3L)P	HOUSTON_L2F	20	8985
In(3L)P	HOUSTON_L3F	9	4021
In(3R)K	HOULE_L1F	0	1297
In(3R)K	HOULE_L2F	0	406
In(3R)K	HOULE_L3F	2	911
In(3R)K	HOUSTON_L1F	318	952
In(3R)K	HOUSTON_L2F	238	469
In(3R)K	HOUSTON_L3F	1	195
In(3R)Payne	HOULE_L1F	1	5558
In(3R)Payne	HOULE_L2F	2	1901
In(3R)Payne	HOULE_L3F	0	3848
In(3R)Payne	HOUSTON_L1F	76	4209
In(3R)Payne	HOUSTON_L2F	55	2261
In(3R)Payne	HOUSTON_L3F	14	1015
In(3R)C	HOULE_L1F	50	38315
In(3R)C	HOULE_L2F	75	14240
In(3R)C	HOULE_L3F	42	29220
In(3R)C	HOUSTON_L1F	56	30226
In(3R)C	HOUSTON_L2F	52	16633
In(3R)C	HOUSTON_L3F	2	7932
In(3R)Mo	HOULE_L1F	128	41619
In(3R)Mo	HOULE_L2F	40	14994
In(3R)Mo	HOULE_L3F	232	30274
In(3R)Mo	HOUSTON_L1F	224	33317
In(3R)Mo	HOUSTON_L2F	177	18032
In(3R)Mo	HOUSTON_L3F	52	7838
